name,team_code,team_name,pos,credits,min_proj,pts,reb,ast,stl,blk,tov,pdk,gp,min_total
Juan Nunez,BAR,FC Barcelona,G,0.0,15.56,124.0,63.0,84.0,20.0,0.0,33.0,193.3,25.0,389.0
Joel Parra,BAR,FC Barcelona,F,0.0,14.97,152.0,88.0,19.0,18.0,3.0,11.0,179.8,31.0,464.0
Jabari Parker,BAR,FC Barcelona,F,0.0,27.21,539.0,156.0,68.0,32.0,9.0,60.0,515.3,39.0,1061.0
Willy Hernangomez,BAR,FC Barcelona,C,0.0,15.82,280.0,141.0,18.0,19.0,4.0,38.0,387.6,34.0,538.0
Dario Brizuela,BAR,FC Barcelona,G,0.0,18.33,361.0,50.0,79.0,14.0,3.0,47.0,326.4,36.0,660.0
Justin Lamar Anderson,BAR,FC Barcelona,F,0.0,19.57,264.0,102.0,51.0,25.0,10.0,20.0,332.0,37.0,724.0
Chimezie Metu,BAR,FC Barcelona,F,0.0,20.04,263.0,115.0,23.0,15.0,14.0,40.0,300.4,24.0,481.0
Raul Villar,BAR,FC Barcelona,G,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,-0.9,7.0,14.0
Mathieu Grujicic,BAR,FC Barcelona,G,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
Shabazz Napier,BAY,FC Bayern Munich,G,0.0,20.61,341.0,75.0,106.0,37.0,0.0,62.0,402.9,33.0,680.0
Niels Giffey,BAY,FC Bayern Munich,F,0.0,18.2,161.0,46.0,23.0,5.0,5.0,19.0,141.7,25.0,455.0
Carsen Edwards,BAY,FC Bayern Munich,G,0.0,28.83,713.0,82.0,115.0,34.0,2.0,81.0,627.1,35.0,1009.0
Nick Weiler-babb,BAY,FC Bayern Munich,G,0.0,26.35,280.0,141.0,168.0,52.0,2.0,55.0,468.7,34.0,896.0
Devin Booker,BAY,FC Bayern Munich,C,0.0,26.25,418.0,132.0,46.0,20.0,6.0,46.0,478.2,28.0,735.0
Oscar Da Silva,BAY,FC Bayern Munich,F,0.0,15.48,121.0,77.0,12.0,12.0,6.0,19.0,152.3,25.0,387.0
Johannes Voigtmann,BAY,FC Bayern Munich,C,0.0,23.64,234.0,178.0,87.0,19.0,7.0,53.0,348.2,36.0,851.0
Elias Harris,BAY,FC Bayern Munich,C,0.0,9.82,114.0,42.0,13.0,4.0,0.0,9.0,131.7,28.0,275.0
Andreas Obst,BAY,FC Bayern Munich,G,0.0,23.86,368.0,68.0,53.0,19.0,0.0,44.0,270.0,36.0,859.0
Vladimir Lucic,BAY,FC Bayern Munich,F,0.0,25.69,120.0,77.0,23.0,17.0,0.0,15.0,204.1,16.0,411.0
Onuralp Bitim,BAY,FC Bayern Munich,G,0.0,8.5,25.0,11.0,1.0,1.0,1.0,9.0,11.5,12.0,102.0
Danko Brankovic,BAY,FC Bayern Munich,C,0.0,9.12,113.0,56.0,6.0,7.0,13.0,14.0,126.8,26.0,237.0
