name,team,pos,price,min_proj,pts,reb,ast,stl,blk,tov
Ivan Kharchenkov,BAY,G,0.0,7.0,66.0,17.0,12.0,4.0,2.0,21.0
Ivan Volf,BAY,G,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0
Bonzie Colson,FBB,F,7.6,18.46,260.0,137.0,21.0,26.0,10.0,30.0
Wade Baldwin Iv,FBB,G,11.6,24.22,300.0,72.0,101.0,24.0,3.0,58.0
Marko Guduric,FBB,G,10.7,22.03,391.0,94.0,112.0,26.0,2.0,72.0
Dyshawn Pierre,FBB,F,5.7,11.56,83.0,51.0,20.0,7.0,4.0,9.0
Tarik Biberovic,FBB,F,8.8,22.49,384.0,114.0,52.0,19.0,6.0,45.0
Nigel Hayes-davis,FBB,F,17.2,31.33,650.0,206.0,65.0,44.0,13.0,55.0
Melih Mahmutoglu,FBB,G,4.0,5.5,14.0,2.0,1.0,0.0,0.0,2.0
Scottie Wilbekin,FBB,G,6.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Metecan Birsen,FBB,F,4.0,3.5,4.0,4.0,0.0,0.0,0.0,1.0
Sertac Sanli,FBB,C,5.0,13.06,182.0,80.0,22.0,14.0,15.0,20.0
Devon Hall,FBB,G,8.4,23.47,249.0,70.0,106.0,16.0,2.0,41.0
Nicolo Melli,FBB,F,8.5,17.29,188.0,154.0,43.0,21.0,15.0,28.0
Arturs Zagars,FBB,G,6.0,14.91,129.0,25.0,51.0,9.0,1.0,29.0
Mert Eksioglu,FBB,G,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
Khem Birch,FBB,C,6.3,13.67,125.0,132.0,21.0,15.0,15.0,31.0
Errick Mccollum,FBB,G,11.3,18.44,200.0,38.0,32.0,10.0,8.0,13.0
Jilson Bango,FBB,C,6.7,7.0,27.0,18.0,1.0,2.0,1.0,5.0
Paris Lee,ASV,G,0.0,22.0,215.0,38.0,81.0,21.0,1.0,28.0
Tarik Black,ASV,C,0.0,10.32,104.0,65.0,11.0,4.0,4.0,30.0
Benjamin Bentil,ASV,F,0.0,13.11,40.0,21.0,4.0,2.0,0.0,5.0
David Lighty,ASV,F,0.0,19.45,146.0,59.0,34.0,17.0,2.0,21.0
Nando De Colo,ASV,G,0.0,20.59,368.0,55.0,143.0,24.0,1.0,76.0
Joffrey Lauvergne,ASV,C,0.0,20.26,214.0,94.0,21.0,9.0,4.0,19.0
Charles Kahudi,ASV,F,0.0,12.21,46.0,17.0,2.0,2.0,1.0,10.0
Mbaye Ndiaye,ASV,F,0.0,19.5,101.0,41.0,11.0,9.0,8.0,15.0
Edwin Jackson,ASV,G,0.0,15.05,80.0,32.0,14.0,5.0,0.0,12.0
Neal Sako,ASV,C,0.0,21.97,297.0,203.0,27.0,26.0,16.0,29.0
Melvin Ajinca,ASV,F,0.0,14.44,147.0,32.0,9.0,2.0,0.0,17.0
Theo Maledon,ASV,G,0.0,27.61,561.0,114.0,153.0,33.0,5.0,97.0
Shaquille Harrison,ASV,G,0.0,16.35,177.0,55.0,54.0,39.0,8.0,38.0
Mbiya Paul,ASV,C,0.0,3.83,4.0,6.0,0.0,1.0,3.0,0.0
Yohann Sissoko,ASV,F,0.0,6.8,4.0,7.0,4.0,0.0,0.0,2.0
Andre Roberson,ASV,F,0.0,25.84,210.0,155.0,36.0,29.0,27.0,42.0
Roman Sorkin,MTA,F,0.0,23.36,427.0,135.0,35.0,18.0,16.0,50.0
Rafi Menco,MTA,F,0.0,8.86,40.0,17.0,5.0,2.0,0.0,4.0
Jasiel Rivero,MTA,C,0.0,21.95,204.0,87.0,26.0,16.0,9.0,22.0
Jake Cohen,MTA,F,0.0,9.52,64.0,35.0,10.0,3.0,0.0,14.0
John Dibartolomeo,MTA,G,0.0,17.42,170.0,62.0,22.0,22.0,0.0,8.0
Rokas Jokubaitis,MTA,G,0.0,24.46,353.0,89.0,131.0,28.0,1.0,73.0
Tamir Blatt,MTA,G,0.0,24.19,231.0,62.0,175.0,12.0,0.0,75.0
Jaylen Hoard,MTA,F,0.0,30.62,353.0,121.0,33.0,31.0,6.0,21.0
Trevion Williams,MTA,F,0.0,19.91,314.0,208.0,77.0,19.0,15.0,78.0
